TXT003,TXT001
30151,INFORMACION CONTABLE FINANCIERA PARA LOS NEGOCIOS
30152,INGENIERIA DEL MENU Y NUTRICION
30153,CALCULO PARA CIENCIAS E INGENIERIA
30154,TALLER DE INNOVACION CULINARIA
30155,INSTRUMENTOS FINANCIEROS PARA LA TOMA DE DECISIONES
30156,INSUMOS DEL PERU Y DEL MUNDO
30157,INTEGRACION DE APLICACIONES
30158,INTELIGENCIA ARTIFICIAL
30159,INTRODUCCION A LA GESTION COMERCIAL
30160,INTRODUCCION A LA PROGRAMACION
30161,DESARROLLO DE VIDEOJUEGOS EN 2D - I
30162,INVESTIGACION CREATIVA Y EXPLORACION DE INSIGHTS
30163,INVESTIGACION CUANTITATIVA
30164,INVESTIGACION DE MERCADOS (CUALI -CUANTI)
30165,LEGISLACION APLICADA A LOS NEGOCIOS
30166,LEGISLACION EN LAS COMUNICACIONES
30167,LEGISLACION PERUANA DE COMERCIO INTERNACIONAL
30168,LEGISLACION PUBLICITARIA
30170,LOCUCION Y NARRACION DEPORTIVA
30171,LOGISTICA INTERNACIONAL
30172,MARKETING ESTRATEGICO
30173,PLAN DE MARKETING
30174,MARKETING INTERNACIONAL
30175,MARKETING RELACIONAL Y CRM
30176,MATEMATICA APLICADA
30177,MATEMATICA APLICADA A LAS FINANZAS
30178,MEDIO AMBIENTE Y DIVERSIDAD CULTURAL
30179,MERCADO DE CAPITALES
30180,MODELADO DE ESTRUCTURAS BASICAS
30181,MODELOS DE NEGOCIOS Y STARTUPS
30182,NEGOCIACION Y PERSUASION
30183,NEGOCIOS INTERNACIONALES
30184,ORGANIZACION DE EVENTOS
30185,ORGANIZACION Y MARKETING DE EVENTOS DEPORTIVOS
30186,PERIODISMO DEPORTIVO EN LOS MEDIOS DIGITALES
30187,PLAN DE MEDIOS INTEGRADOS
30188,PLANEAMIENTO COMERCIAL
30189,PLANEAMIENTO ESTRATEGICO
30190,PLANIFICACION Y CONTROL FINANCIERO
30191,PLANIFICACION DE ESTABLECIMIENTOS Y DISEÑO DE AMBIENTES
30192,PORTAFOLIO Y BRANDING PERSONAL
30194,PRICING STRATEGIES
30195,GESTION DE IMPORTACIONES Y EXPORTACIONES
30196,PRODUCCION AUDIOVISUAL
30197,PRODUCCION RADIAL
30198,PRODUCCION Y REALIZACION AUDIOVISUAL PUBLICITARIA
30199,PROGRAMACION AVANZADA DE BASE DE DATOS
30200,PROGRAMAS TELEVISIVOS DEPORTIVOS
30201,PRONOSTICO Y PRESUPUESTO DE VENTAS
30202,PROYECTO DE BRANDING
30203,PROYECTO DE CAMPAÑA INTEGRAL
30204,METODOLOGIA E INVESTIGACION DE DISEÑO
30206,PROYECTO DE GESTION DE EXPERIENCIAS EN EMPRESAS DE SERVICIOS
30207,PROYECTO ESTRUCTURAL DE ANIMACION AVANZADA
30208,PROYECTO TECNOLOGICO
30209,PROYECTOS DE COMUNICACION TRANSMEDIA
30210,PROYECTOS DE IDENTIDAD Y COMUNICACION DE MARCA
30211,PROYECTOS INTERACTIVOS
30212,PROYECTOS PERIODISTICOS
30213,PSICOLOGIA E INVESTIGACION CUALITATIVA
